Índice,Nome,Preço,Área,Localização
16,"T3 renovado, próximo de Santo Ovídeo, Poente / Nascente",239 000 €,108 m²,"Apartamento para comprar: Mafamude e Vilar do Paraíso, Vila Nova de Gaia, Porto"
17,Apartamento T2 em Baixa da Banheira,134 900 €,55 m²,"Apartamento para comprar: Baixa da Banheira e Vale da Amoreira, Moita, Setúbal"
18,"Apartamento T2 com Suite, Varanda e Garagem próximo a Santo Ovídeo",199 000 €,"63,08 m²","Apartamento para comprar: Mafamude e Vilar do Paraíso, Vila Nova de Gaia, Porto"
19,Apartamento T1 Varanda e Garagem próximo ao Gaia Shopping,158 500 €,"41,37 m²","Apartamento para comprar: Mafamude e Vilar do Paraíso, Vila Nova de Gaia, Porto"
20,Apartamento T1 Varanda e Garagem em Vila Nova de Gaia,205 000 €,"63,52 m²","Apartamento para comprar: Mafamude e Vilar do Paraíso, Vila Nova de Gaia, Porto"
21,"Apartamento T3 com Suite, Varanda e Garagem próximo ao Gaia Shopping",325 000 €,"102,68 m²","Apartamento para comprar: Mafamude e Vilar do Paraíso, Vila Nova de Gaia, Porto"
22,Apartamento T2,374 000 €,"91,20 m²","Apartamento para comprar: Vila do Conde, Porto"
23,Apartamento T1 à venda em Albufeira,220 000 €,55 m²,"Apartamento para comprar: Albufeira e Olhos de Água, Albufeira, Faro"
24,Apartamento T3 à venda no Barreiro - BAÍA Residence,320 000 €,"137,50 m²","Apartamento para comprar: Barreiro e Lavradio, Barreiro, Setúbal"
25,Apartamento T1 em Rebordosa - Paredes,135 000 €,67 m²,"Apartamento para comprar: Rebordosa, Paredes, Porto"
26,BAÍA Residence Empreendimento Barreiro,320 000 €,"130,50 m²","Apartamento para comprar: Barreiro e Lavradio, Barreiro, Setúbal"
27,Apartamento T2 | NOVO | Pampilhosa | Coimbra | Aveiro,175 000 €,123 m²,"Apartamento para comprar: Pampilhosa, Mealhada, Aveiro"
28,Apartamento T3 | NOVO | Pampilhosa | Coimbra | Aveiro,265 000 €,123 m²,"Apartamento para comprar: Pampilhosa, Mealhada, Aveiro"
29,Apartamento T3 | NOVO | Pampilhosa | Coimbra | Aveiro,195 000 €,123 m²,"Apartamento para comprar: Pampilhosa, Mealhada, Aveiro"
30,"REF3907 T2 Recuado C/Terraço H. Conde Ferreira / CTT, Paranhos",195 000 €,78 m²,"Apartamento para comprar: Paranhos, Porto"
31,Apartamento T1 em Anadia,130 000 €,50 m²,"Apartamento para comprar: Arcos e Mogofores, Anadia, Aveiro"
32,"Apartamentos T3, condomínio com piscina, perto da praia, ...",972 400 €,146 m²,"Apartamento para comprar: Quarteira, Loulé, Faro"
33,"Apartamentos T3, condomínio com piscina, perto da praia, ...",806 500 €,"133,31 m²","Apartamento para comprar: Quarteira, Loulé, Faro"
34,"Apartamentos T3, condomínio com piscina, perto da praia, ...",929 500 €,"151,91 m²","Apartamento para comprar: Quarteira, Loulé, Faro"
35,Exclusivo Apartamento T4 Duplex na primeira linha da prai...,1 845 000 €,"298,10 m²","Apartamento para comprar: Quarteira, Loulé, Faro"
36,Apartamento T3 em Gavião,199 000 €,"145,50 m²","Apartamento para comprar: Gavião, Vila Nova de Famalicão, Braga"
37,Apartamento T1 para venda,449 000 €,66 m²,"Apartamento para comprar: Campolide, Lisboa"
38,Apartamento T3 para venda,300 000 €,102 m²,"Apartamento para comprar: Cacém e São Marcos, Sintra, Lisboa"
39,Apartamento T1 para venda,645 000 €,"43,42 m²","Apartamento para comprar: Cascais e Estoril, Cascais, Lisboa"
40,Deslumbrante T2 de 2 Frentes Totalmente Renovado com Luga...,175 000 €,85 m²,"Apartamento para comprar: Gulpilhares e Valadares, Vila Nova de Gaia, Porto"
41,Oportunidade Única: T1+1 na Rua Bernardim Ribeiro com exposição solar,145 000 €,75 m²,"Apartamento para comprar: São Mamede de Infesta e Senhora da Hora, Matosinhos, Porto"
42,Excelente Apartamento T3 em Moita,178 900 €,"112,50 m²","Apartamento para comprar: Moita, Setúbal"
43,"Apartamento T2 remodelado e com garagem de 50m2 em Cernache, Coimbra",185 000 €,85 m²,"Apartamento para comprar: Cernache, Coimbra"
44,Apartamento T4 para venda,650 000 €,"182,90 m²","Apartamento para comprar: Rio de Mouro, Sintra, Lisboa"
45,PANORAMIC RESIDENCE - T2 - TERRAÇO 74 M2 - PARQUEAMENTO,335 000 €,"171,50 m²","Apartamento para comprar: Santa Iria de Azoia, São João da Talha e Bobadela, Loures, Lisboa"
46,Apartamento T2 renovado em Moreira da Maia,193 000 €,98 m²,"Apartamento para comprar: Moreira, Maia, Porto"
47,"T2 +1 em Duplex com amplas varandas e terraços e box ,localizado em Ma",370 000 €,131 m²,"Apartamento para comprar: Queluz e Belas, Sintra, Lisboa"
48,"Apartamento, para venda, Vila do Conde - Arvore",340 000 €,95 m²,"Apartamento para comprar: Árvore, Vila do Conde, Porto"
49,T3 Recuado no Cabo do Mundo Perafita,470 000 €,125 m²,"Apartamento para comprar: Perafita, Lavra e Santa Cruz do Bispo, Matosinhos, Porto"
50,T2 em Ramalde,297 000 €,112 m²,"Apartamento para comprar: Ramalde, Porto"
51,Apartamento T3+1 Águas Santas,245 000 €,144 m²,"Apartamento para comprar: Águas Santas, Maia, Porto"
52,T2 Matosinhos sul com varandas 2 lugares de garagem - Vir...,505 000 €,"97,82 m²","Apartamento para comprar: Matosinhos e Leça da Palmeira, Matosinhos, Porto"
53,"Apartamento T1 ao Jardim de Serralves, Lordelo do Ouro",240 000 €,52 m²,"Apartamento para comprar: Lordelo do Ouro e Massarelos, Porto"
54,Apartamento T3 Venda Porto,450 000 €,129 m²,"Apartamento para comprar: Ramalde, Porto"
55,"Apartamento T2, em Rio Tinto, junto ao Parque",180 000 €,71 m²,"Apartamento para comprar: Rio Tinto, Gondomar, Porto"
56,T1 na Praia da Rocha com Vista Marina,135 000 €,46 m²,"Apartamento para comprar: Portimão, Faro"
57,Apartamento T1 com lugar de garagem em Baguim do Monte,138 900 €,"62,40 m²","Apartamento para comprar: Baguim do Monte, Gondomar, Porto"
58,T3 com Garagem de 55 m2 | Prédio apenas com 3 frações - Centro Montijo,187 500 €,106 m²,"Apartamento para comprar: Montijo e Afonsoeiro, Montijo, Setúbal"
59,Apartamento T3 na Urb. da Quinta da Estrela com Vista para o Rio Monde,249 500 €,92 m²,"Apartamento para comprar: Santo António dos Olivais, Coimbra"
60,Apartamento T4 para venda,1 400 000 €,170 m²,"Apartamento para comprar: Parque das Nações, Lisboa"
61,"T3 Terraços do Planalto, Santa Clara",350 000 €,124 m²,"Apartamento para comprar: Santa Clara e Castelo Viegas, Coimbra"
62,Apartamento T4 com varanda e estacionamento no centro de Cascais,"3 534 577,20 €","230,76 m²","Apartamento para comprar: Cascais e Estoril, Cascais, Lisboa"
63,Apartamento T3 com estacionamento no centro de Cascais,"2 620 219,80 €","172,61 m²","Apartamento para comprar: Cascais e Estoril, Cascais, Lisboa"
64,Apartamento T2 com estacionamento no centro de Cascais,2 242 891 €,"141,83 m²","Apartamento para comprar: Cascais e Estoril, Cascais, Lisboa"
65,"Apartamento T3 com estacionamento, Alta de Lisboa",765 000 €,"137,22 m²","Apartamento para comprar: Lumiar, Lisboa"
66,"Apartamento T2 com estacionamento, Alta de Lisboa",580 000 €,"100,18 m²","Apartamento para comprar: Lumiar, Lisboa"
67,T2 Novo Cond.Privado c/piscina e Padel em Mafamude (Junto ao Mercadona,290 000 €,"85,42 m²","Apartamento para comprar: Oliveira do Douro, Vila Nova de Gaia, Porto"
68,Apartamento T2 com varanda em Baguim do Monte.,185 900 €,"86,95 m²","Apartamento para comprar: Baguim do Monte, Gondomar, Porto"
69,Apartamento T2 com lugar de garagem em Baguim do Monte.,184 900 €,"86,95 m²","Apartamento para comprar: Baguim do Monte, Gondomar, Porto"
70,Apartamento T2 com lugar de garagem em Baguim do Monte.,183 900 €,"86,95 m²","Apartamento para comprar: Baguim do Monte, Gondomar, Porto"
71,Apartamento T2 com varanda e lugar de garagem em Baguim do Monte.,192 900 €,"88,30 m²","Apartamento para comprar: Baguim do Monte, Gondomar, Porto"
72,Apartamento T3,278 000 €,"122,50 m²","Apartamento para comprar: Vila Nova de Famalicão e Calendário, Vila Nova de Famalicão, Braga"
73,T3 Recuado C/Vista Mar,235 000 €,141 m²,"Apartamento para comprar: Esmoriz, Ovar, Aveiro"
74,Apartamento T2 com varanda em Baguim do Monte.,191 900 €,"88,30 m²","Apartamento para comprar: Baguim do Monte, Gondomar, Porto"
75,Apartamento T2+1 com duas frentes em Baguim do Monte.,189 900 €,"96,20 m²","Apartamento para comprar: Baguim do Monte, Gondomar, Porto"
76,"Apartamento T3 em Arca d'Água, Porto",320 000 €,103 m²,"Apartamento para comprar: Paranhos, Porto"
77,"Apartamento T1+1 Duplex em construção, no Edifício Costa Cabral",240 000 €,73 m²,"Apartamento para comprar: Paranhos, Porto"
78,"APARTAMENTO T3 TUNES com 104m2, Varanda Espaçosa e Lugar de Estacionam",180 000 €,84 m²,"Apartamento para comprar: Algoz e Tunes, Silves, Faro"
79,Apartamento T2 com terraço em Almoinha - Sesimbra,205 000 €,110 m²,"Apartamento para comprar: Castelo (Sesimbra), Sesimbra, Setúbal"
80,Apartamento T4 Terraço | 3 Frentes | Box | Maia | Europorto Sá Carneir,392 000 €,170 m²,"Apartamento para comprar: Moreira, Maia, Porto"
81,"T 2 + 1 Canidelo, ao Mercadona",310 900 €,90 m²,"Apartamento para comprar: Canidelo, Vila Nova de Gaia, Porto"
82,Apartamento T3 para venda,192 500 €,135 m²,"Apartamento para comprar: S. João da Madeira, São João da Madeira, Aveiro"
83,Charmoso apartamento T2 com piscina na praia Pedra Ouro,169 500 €,90 m²,"Apartamento para comprar: Pataias e Martingança, Alcobaça, Leiria"
84,T3 c/Garagem | Rua Dr. Paulo Quintela | Coimbra,315 000 €,125 m²,"Apartamento para comprar: Santo António dos Olivais, Coimbra"
85,Apartamento T3 com estacionamento privado – Olhão,270 000 €,119 m²,"Apartamento para comprar: Quelfes, Olhão, Faro"
86,Apartamento T4 para venda,350 000 €,98 m²,"Apartamento para comprar: Olivais, Lisboa"
87,Apartamento T3 Lousada,215 000 €,153 m²,"Apartamento para comprar: Macieira, Lousada, Porto"
88,Apartamento T3 (4 assoalhadas) garagem e arrecadação - Abrantes,150 000 €,136 m²,"Apartamento para comprar: Abrantes (São Vicente e São João) e Alferrarede, Abrantes, Santarém"
89,Venda T2 (3 assoalhadas) com terraço e arrecadação na Encosta do Sol,195 000 €,75 m²,"Apartamento para comprar: Encosta do Sol, Amadora, Lisboa"
90,Apartamento T2 - Frazão - Paços de Ferreira,135 500 €,"80,80 m²","Apartamento para comprar: Frazão Arreigada, Paços de Ferreira, Porto"
91,Apartamento T3,315 000 €,142 m²,"Apartamento para comprar: Moreira, Maia, Porto"
92,"Apartamento T2+1 com 2 Varandas, Suite e Lugar de Estacio...",285 000 €,188 m²,"Apartamento para comprar: Mafamude e Vilar do Paraíso, Vila Nova de Gaia, Porto"
93,Apartamento T1+1 com Lugar de Garagem próximo a Quinta da...,235 000 €,111 m²,"Apartamento para comprar: Mafamude e Vilar do Paraíso, Vila Nova de Gaia, Porto"
94,Apartamento T3 recuado - Quinta da Missilva - Baguim do Monte,290 900 €,100 m²,"Apartamento para comprar: Baguim do Monte, Gondomar, Porto"
95,"Apartamento T3 com Varanda e Condomínio com Piscina e Ginásio, Espinho",338 000 €,117 m²,"Apartamento para comprar: Espinho, Aveiro"
96,Apartamento T1 com Varanda em Condomínio Privado com Piscina e Ginásio,170 000 €,"42,50 m²","Apartamento para comprar: Espinho, Aveiro"
97,Apartamento T2 com Varanda em Condomínio Privado com Piscina e Ginásio,224 000 €,"68,50 m²","Apartamento para comprar: Espinho, Aveiro"
98,Apartamento T2 com Varanda e Lugar Garagem em condomínio com Piscina,195 000 €,"93,04 m²","Apartamento para comprar: Espinho, Aveiro"
99,T1 com Varanda e Lugar de Garagem com Piscina e Jardim - Espinho,147 000 €,"47,94 m²","Apartamento para comprar: Espinho, Aveiro"
100,T1 com Varanda e Lugar de Garagem com Piscina e Jardim - Espinho,150 000 €,"47,94 m²","Apartamento para comprar: Espinho, Aveiro"
101,Apartamento T3 com Garagem Fechada em Aveiro,650 000 €,"130,60 m²","Apartamento para comprar: Glória e Vera Cruz, Aveiro"
102,T0+T1 com Lugar de Garagem na Universidade de Aveiro,329 000 €,"85,75 m²","Apartamento para comprar: Glória e Vera Cruz, Aveiro"
103,T3 com lugar de garagem no centro de Aveiro,445 000 €,119 m²,"Apartamento para comprar: Glória e Vera Cruz, Aveiro"
104,Apartamento T2 com terraço de 312m2 na Praia da Barra,390 000 €,"98,50 m²","Apartamento para comprar: Gafanha da Nazaré, Ílhavo, Aveiro"
105,T2 em Baltar,149 000 €,89 m²,"Apartamento para comprar: Baltar, Paredes, Porto"
106,Apartamento T1 no Centro da Cidade de Aveiro,257 500 €,"45,82 m²","Apartamento para comprar: Glória e Vera Cruz, Aveiro"
107,Apartamento T3 Duplex Novo Pronto a Escriturar,325 000 €,145 m²,"Apartamento para comprar: Pinhal Novo, Palmela, Setúbal"
108,Apartamento T2,225 000 €,"80,40 m²","Apartamento para comprar: Vila Nova de Famalicão e Calendário, Vila Nova de Famalicão, Braga"
109,Apartamento T3 com 2 lugares de garagem e arrecadação.,625 000 €,140 m²,"Apartamento para comprar: São Domingos de Benfica, Lisboa"
110,Apartamento T2 para venda NOVO em Quarteira -Loulé,430 000 €,"92,97 m²","Apartamento para comprar: Quarteira, Loulé, Faro"
111,Penthouse T2 pleno centro Cascais,830 000 €,160 m²,"Apartamento para comprar: Cascais e Estoril, Cascais, Lisboa"
112,»CASA ABERTA« DIA 30 DE MARÇO DE 2024 ENTRE AS 11H E AS 17H - VISITE S,274 000 €,89 m²,"Apartamento para comprar: Tavira (Santa Maria e Santiago), Tavira, Faro"
113,Apartamento T3 para venda,190 000 €,"95,70 m²","Apartamento para comprar: Portimão, Faro"
114,Apartamento T3 Renovado em Santa Clara,187 500 €,90 m²,"Apartamento para comprar: Santa Clara e Castelo Viegas, Coimbra"
115,Apartamento T3+2 Duplex na Periferia da Lousã,102 500 €,140 m²,"Apartamento para comprar: Serpins, Lousã, Coimbra"
116,Apartamento T2+1 Suite c/ Terraço em Canidelo | Vila Nova...,307 900 €,96 m²,"Apartamento para comprar: Canidelo, Vila Nova de Gaia, Porto"
117,Apartamento T2+1 Suite c/ Terraço em Canidelo | Vila Nova...,310 900 €,96 m²,"Apartamento para comprar: Canidelo, Vila Nova de Gaia, Porto"
118,Apartamento T2+1 Suite c/ Terraço em Canidelo | Vila Nova...,308 900 €,96 m²,"Apartamento para comprar: Canidelo, Vila Nova de Gaia, Porto"
119,Apartamento T2 Recuado em Baguim do Monte | Gondomar,219 900 €,85 m²,"Apartamento para comprar: Baguim do Monte, Gondomar, Porto"
120,"Apartamento T2, 2 Suites, C Lugar de Garagem em Baguim do...",169 900 €,"83,50 m²","Apartamento para comprar: Baguim do Monte, Gondomar, Porto"
121,"Apartamento T2, 2 Suites, C/ Varanda e Lugar de Garagem e...",183 900 €,"86,95 m²","Apartamento para comprar: Baguim do Monte, Gondomar, Porto"
122,Apartamento T3 com arrecadação e elevador em Faro,299 000 €,"113,26 m²","Apartamento para comprar: Faro (Sé e São Pedro), Faro"
123,Exclusivo Apartamento T3 com Piscina e Garagem no Estoril,1 695 000 €,205 m²,"Apartamento para comprar: Cascais e Estoril, Cascais, Lisboa"
124,T4 com Varanda e Parqueamento no Monte da Caparica,300 000 €,115 m²,"Apartamento para comprar: Caparica e Trafaria, Almada, Setúbal"
125,"REF3813 T1 Com Box Edifício D. Afonso Henriques / Areosa, Rio Tinto",179 000 €,70 m²,"Apartamento para comprar: Rio Tinto, Gondomar, Porto"
126,Apartamento t3+1 duplex com box para 3 carros e varandas - Condomínio,930 000 €,200 m²,"Apartamento para comprar: Alcochete, Setúbal"
127,"REF3890 T3 Renovado Novo Colégio Júlio Dinis / Via Verde, Paranhos",290 000 €,118 m²,"Apartamento para comprar: Paranhos, Porto"
128,"REF3812 T2 Renovado - Rua da Areosa, Paranhos",178 000 €,90 m²,"Apartamento para comprar: Paranhos, Porto"
129,"Venda Apartamento T3 Remodelado, Amieiro, Castelo Branco",126 000 €,100 m²,Apartamento para comprar: Castelo Branco
130,Oportunidade t1+1 restaurado a 500 metros Casino Estoril Cascais,299 000 €,75 m²,"Apartamento para comprar: Cascais e Estoril, Cascais, Lisboa"
131,Apartamento T2,418 000 €,"91,20 m²","Apartamento para comprar: Vila do Conde, Porto"
132,T2 no Condominio Privado Pateo da Cordoaria,892 500 €,113 m²,"Apartamento para comprar: Alcântara, Lisboa"
133,"Apartamento T2 com piscina em Tavira, Algarve",300 000 €,75 m²,"Apartamento para comprar: Tavira (Santa Maria e Santiago), Tavira, Faro"
134,"Apartamento T2, piscina na cobertura, Faro, Algarve",365 000 €,"99,22 m²","Apartamento para comprar: Faro (Sé e São Pedro), Faro"
135,"Apartamento T1 com piscina em Tavira, Algarve",260 000 €,61 m²,"Apartamento para comprar: Tavira (Santa Maria e Santiago), Tavira, Faro"
136,"Apartamento T4 em condomínio de luxo, Greens Vilamoura, A...",1 415 000 €,218 m²,"Apartamento para comprar: Quarteira, Loulé, Faro"
137,Apartamento T2 - Areosa,325 000 €,"105,64 m²","Apartamento para comprar: Areosa, Viana do Castelo"
138,"Apartamento T2, piscina na cobertura, Faro, Algarve",362 500 €,"99,22 m²","Apartamento para comprar: Faro (Sé e São Pedro), Faro"
139,Apartamento T3,792 000 €,"157,30 m²","Apartamento para comprar: Vila do Conde, Porto"
140,T3 Duplex no Condominio Privado Pateo da Cordoaria,1 470 000 €,179 m²,"Apartamento para comprar: Alcântara, Lisboa"
141,"Apartamento T2, novo, com estacionamento, Faro, Algarve",315 000 €,100 m²,"Apartamento para comprar: Faro (Sé e São Pedro), Faro"
142,"Apartamento T1 no empreendimento 'Telhal 72', Lisboa",671 000 €,"63,70 m²","Apartamento para comprar: Santo António, Lisboa"
143,Impecável Apartamento T2 Renovado na IC29 Gondomar,162 500 €,80 m²,"Apartamento para comprar: Fânzeres e São Pedro da Cova, Gondomar, Porto"
144,"Fração YY - T3 Recuado Novo, Edifício Twins22 em Espinho",660 000 €,125 m²,"Apartamento para comprar: Espinho, Aveiro"
145,"Fração FF - T2 Novo, Edifício Twins22 em Espinho",335 000 €,104 m²,"Apartamento para comprar: Espinho, Aveiro"
146,"Fração HH - T2 Novo, Edifício Twins22 em Espinho",310 000 €,95 m²,"Apartamento para comprar: Espinho, Aveiro"
147,"Fração EE - T2 Novo, Edifício Twins22 em Espinho",310 000 €,96 m²,"Apartamento para comprar: Espinho, Aveiro"
148,"Fração AA - T2 Novo, Edifício Twins22 em Espinho",315 000 €,99 m²,"Apartamento para comprar: Espinho, Aveiro"
149,"Fração ZZ - T3 Recuado Novo, Edifício Twins22 em Espinho",780 000 €,125 m²,"Apartamento para comprar: Espinho, Aveiro"
150,"Apartamento T2 Novo, Edificio Twins22 em Espinho",280 000 €,83 m²,"Apartamento para comprar: Espinho, Aveiro"
151,"Fração OO - T1 Novo, Edifício Twins22 em Espinho",240 000 €,61 m²,"Apartamento para comprar: Espinho, Aveiro"
152,"Fração II - T1 Novo, Edificio Twins22 em Espinho",220 000 €,61 m²,"Apartamento para comprar: Espinho, Aveiro"
153,"Apartamento T3 Duplex Novo, Edificio Twins22 em Espinho",478 000 €,164 m²,"Apartamento para comprar: Espinho, Aveiro"
154,"Fração GG - T2 Novo, Edifício Twins22 em Espinho",355 000 €,99 m²,"Apartamento para comprar: Espinho, Aveiro"
155,"Fração O - T2 Novo, Edificio Twins22 em Espinho",310 000 €,89 m²,"Apartamento para comprar: Espinho, Aveiro"
156,"Fração PP - T1 Novo, Edifício Twins22 em Espinho",220 000 €,56 m²,"Apartamento para comprar: Espinho, Aveiro"
157,"FRAÇÃO DD - T1 Novo, Edificio Twins22 em Espinho",195 000 €,56 m²,"Apartamento para comprar: Espinho, Aveiro"
158,"Fração M - T1 Novo, Edificio Twins22 em Espinho",240 000 €,67 m²,"Apartamento para comprar: Espinho, Aveiro"
159,"Fração N - T2 Novo, Edificio Twins22 em Espinho",290 000 €,83 m²,"Apartamento para comprar: Espinho, Aveiro"
160,"Apartamento T3 Duplex Novo, Edificio Twins22 em Espinho",525 000 €,180 m²,"Apartamento para comprar: Espinho, Aveiro"
161,"Fração K - T2 Novo, Edificio Twins22 em Espinho",300 000 €,89 m²,"Apartamento para comprar: Espinho, Aveiro"
162,"Apartamento T3 Duplex Novo, Edificio Twins22 em Espinho",445 000 €,154 m²,"Apartamento para comprar: Espinho, Aveiro"
163,"Apartamento T2 Duplex Novo, Edificio Twins22 em Espinho",388 600 €,134 m²,"Apartamento para comprar: Espinho, Aveiro"
164,Apartamento T2,150 000 €,"94,50 m²","Apartamento para comprar: Tavarede, Figueira da Foz, Coimbra"
165,Apartamento T2 para venda,649 000 €,118 m²,"Apartamento para comprar: São Domingos de Benfica, Lisboa"
166,Apartamento T2 junto ao Colégio Novo da Maia,232 500 €,"99,85 m²","Apartamento para comprar: Milheirós, Maia, Porto"
167,T4 c/ Possibilidade 2 Apartamentos,215 000 €,202 m²,"Apartamento para comprar: Covilhã e Canhoso, Covilhã, Castelo Branco"
168,"Apartamento T0 com terraço em Santo Ildefonso, Porto",260 000 €,"42,75 m²","Apartamento para comprar: Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória, Porto"
169,Apartamento T2 com vista mar em Vila Nova de Gaia,345 000 €,104 m²,"Apartamento para comprar: Santa Marinha e São Pedro da Afurada, Vila Nova de Gaia, Porto"
170,Apartamento T3 em condomínio com piscina nos Jardins da Parede,860 000 €,155 m²,"Apartamento para comprar: Carcavelos e Parede, Cascais, Lisboa"
171,"Apartamento T3 usado na Lapa, Estrela, Lisboa",1 050 000 €,145 m²,"Apartamento para comprar: Estrela, Lisboa"
172,Apartamento T3 para venda,1 370 000 €,192 m²,"Apartamento para comprar: Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Oeiras, Lisboa"
173,Apartamento T3 - Colinas de São Francisco Setúbal -Vista Rio e Serra,380 000 €,120 m²,"Apartamento para comprar: Setúbal (São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça), Setúbal"
174,"Apartamento T1 Kit, com garagem, no Edifício BB Residence",188 500 €,41 m²,"Apartamento para comprar: São Mamede de Infesta e Senhora da Hora, Matosinhos, Porto"
175,Apartamento T3 Venda Oeiras,600 000 €,125 m²,"Apartamento para comprar: Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Oeiras, Lisboa"
176,Apartamento t4 com vista para o Rio - Construção nova - P...,825 000 €,182 m²,"Apartamento para comprar: Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Oeiras, Lisboa"
177,Apartamento T2 Venda Lisboa,800 000 €,77 m²,"Apartamento para comprar: Belém, Lisboa"
178,Apartamento T2 Venda Cascais,3 800 000 €,195 m²,"Apartamento para comprar: Cascais e Estoril, Cascais, Lisboa"
179,Apartamento T2 Venda Cascais,1 200 000 €,109 m²,"Apartamento para comprar: Cascais e Estoril, Cascais, Lisboa"
180,Apartamento T3 Venda Cascais,369 000 €,87 m²,"Apartamento para comprar: Alcabideche, Cascais, Lisboa"
181,T4 com garagem na Quinta do Lambert,520 000 €,120 m²,"Apartamento para comprar: Lumiar, Lisboa"
182,Apartamento T1 Venda Lisboa,675 000 €,67 m²,"Apartamento para comprar: Parque das Nações, Lisboa"
183,Duplex T4 Venda Cascais,615 000 €,120 m²,"Apartamento para comprar: Cascais e Estoril, Cascais, Lisboa"
184,Apartamento T3 Venda Sintra,650 000 €,164 m²,"Apartamento para comprar: Queluz e Belas, Sintra, Lisboa"
185,Apartamento T3 Venda Lisboa,1 160 000 €,175 m²,"Apartamento para comprar: Alvalade, Lisboa"
186,"Apartamento T3 em condomínio fechado no Pátio Central, Lisboa",850 000 €,140 m²,"Apartamento para comprar: São Domingos de Benfica, Lisboa"
187,Apartamento T1 Completamente Remodelado em Armação de Pera,179 000 €,43 m²,"Apartamento para comprar: Armação de Pêra, Silves, Faro"
188,Apartamento T2 Novo na Boavista - New 2 bedroom apartment in Boavista,595 000 €,"100,10 m²","Apartamento para comprar: Lordelo do Ouro e Massarelos, Porto"
189,T3 com terraço - Condomínio Fechado em Espinho,410 000 €,115 m²,"Apartamento para comprar: Espinho, Aveiro"
190,Apartamento T2 Recuado em Baguim do Monte.,219 900 €,85 m²,"Apartamento para comprar: Baguim do Monte, Gondomar, Porto"
191,"Apartamento T2 Para Venda em Ferreiros, Amares",155 900 €,120 m²,"Apartamento para comprar: Ferreiros, Prozelo e Besteiros, Amares, Braga"
192,Apartamento T2 com lugar de garagem em Baguim do Monte.,185 900 €,"86,95 m²","Apartamento para comprar: Baguim do Monte, Gondomar, Porto"
193,Apartamento T3 em Fátima com vista da Basílica e o Santuário de Nossa,250 000 €,"110,34 m²","Apartamento para comprar: Fátima, Ourém, Santarém"
194,"Apartamento com 3 quartos , com terraço grande , em Armação de Pera",480 000 €,131 m²,"Apartamento para comprar: Armação de Pêra, Silves, Faro"
195,Apartamento T2 com varanda e lugar de garagem em Baguim do Monte.,187 900 €,"88,10 m²","Apartamento para comprar: Baguim do Monte, Gondomar, Porto"
196,T2 com arrecadação na Torre da Marinha,174 900 €,65 m²,"Apartamento para comprar: Seixal, Arrentela e Aldeia de Paio Pires, Seixal, Setúbal"
197,Apartamento T3 no novo empreendimento Lux Feira - Descubr...,346 000 €,"135,60 m²","Apartamento para comprar: Santa Maria da Feira, Travanca, Sanfins e Espargo, Santa Maria da Feira, Aveiro"
